"","meanAR","maxAR","meanSD","maxSD","eigenMAF","mafAR","mafSD","pcaAR","pcaSD","eigenCOV","maxCOV","mutINFO","lake","res","method","computation"
"27",-0.554578168732507,0.201119552179128,0.355457816873251,-0.702252432360389,-0.124350259896042,-0.151539384246301,-0.0299880047980808,-0.644942023190724,-0.711582033853125,-0.711582033853125,0.21338131414101,0.154471544715447,"Windermere","Monthly","multivariate EWS","rolling"
"28",0.16,0.656,0.678,0.032,0.374,0.342,0.474,0.024,0.016,0.016,0.688,0.592,"Windermere","Monthly","multivariate EWS","rolling"
"29",-0.77345731191885,0.610594533671457,-0.747534516765286,-0.845590307128769,-0.504649196956889,-0.54494223724993,-0.349112426035503,-0.85207100591716,-0.496196111580727,-0.496196111580727,-0.162721893491124,0.342154445850218,"Washington","Monthly","multivariate EWS","rolling"
"30",0.036,0.958,0.048,0.006,0.086,0.084,0.186,0,0.128,0.128,0.388,0.7,"Washington","Monthly","multivariate EWS","rolling"
"31",0.0553656869446343,-0.578947368421053,-0.455912508544087,-0.828434723171565,-0.531784005468216,-0.392344497607655,0.391660970608339,-0.186602870813397,-0.177717019822283,-0.177717019822283,-0.133971291866029,-0.654037694634703,"Loch Leven","Monthly","multivariate EWS","rolling"
"32",0.522,0.084,0.284,0.02,0.074,0.172,0.842,0.348,0.39,0.39,0.406,0.018,"Loch Leven","Monthly","multivariate EWS","rolling"
"33",-0.692281066112842,-0.0314987885081343,-0.761163032191069,0.0443059882312219,0.130637915543576,0.0149146451033243,0.120215633423181,-0.156873315363881,0.431087151841869,0.431087151841869,-0.357053009883199,0.781132075471698,"Upper Zurich","Monthly","multivariate EWS","rolling"
"34",0.076,0.516,0.044,0.544,0.678,0.474,0.7,0.36,0.832,0.832,0.204,1,"Upper Zurich","Monthly","multivariate EWS","rolling"
"35",0.748686868686869,0.568888888888889,0.363636363636364,0.49010101010101,0.271515151515152,0.128484848484848,0.395555555555556,0.292929292929293,-0.63030303030303,-0.63030303030303,-0.273131313131313,0.53979797979798,"Monona","Monthly","multivariate EWS","rolling"
"36",0.96,0.938,0.718,0.804,0.772,0.622,0.906,0.78,0.08,0.08,0.264,0.85,"Monona","Monthly","multivariate EWS","rolling"
