"Parameter","Median","CI_low","CI_high","Rhat","ESS"
"linear-none",0.022,-0.191,0.225,1,4862.99
"loess-none",-0.011,-0.219,0.188,1,4243.27
"gaussian-none",-0.047,-0.261,0.156,1,4358.7
"none-average",-0.101,-0.309,0.111,1,4425.74
"none-decompose",0.156,-0.053,0.372,1,4881.34
"none-stl",-0.082,-0.285,0.129,1,4688.05
"linear-average",-0.023,-0.231,0.182,1,4641.8
"loess-average",-0.005,-0.21,0.2,1,4752.65
"gaussian-average",-0.036,-0.245,0.168,1,4744.24
"linear-decompose",0.212,0.003,0.417,1,4765.92
"loess-decompose",0.146,-0.065,0.354,1,4436.74
"gaussian-decompose",0.11,-0.093,0.32,1,5118.86
"linear-stl",-0.009,-0.211,0.207,1,4635.29
"loess-stl",0.005,-0.2,0.211,1,4744.39
"gaussian-stl",0.01,-0.196,0.221,1,4525.97
