"Parameter","Median","CI_low","CI_high","Rhat","ESS"
"linear-none",0.074,-0.302,0.444,1,4107.36
"loess-none",0.167,-0.198,0.538,1,4735.59
"gaussian-none",0.206,-0.148,0.573,1,5220.93
"none-average",-0.023,-0.388,0.337,1,4872.58
"none-decompose",-0.126,-0.494,0.246,1,4679.61
"none-stl",-0.089,-0.464,0.288,1,4635.03
"linear-average",0.093,-0.277,0.459,1,4766.82
"loess-average",0.07,-0.3,0.439,1,4796.65
"gaussian-average",0.172,-0.204,0.542,1,4708.95
"linear-decompose",0.095,-0.286,0.462,1,5137.04
"loess-decompose",0.011,-0.343,0.383,1,4863.16
"gaussian-decompose",0.093,-0.282,0.466,1,4922.87
"linear-stl",-0.19,-0.546,0.196,1,5022.74
"loess-stl",-0.005,-0.385,0.366,1,4858.9
"gaussian-stl",-0.006,-0.383,0.363,1,4974.07
