"Parameter","Median","CI_low","CI_high","Rhat","ESS"
"linear-none",0.021,-0.293,0.336,1,4591.67
"loess-none",-0.034,-0.335,0.273,1,4999.17
"gaussian-none",-0.047,-0.363,0.278,1,5235.38
"none-average",0.021,-0.291,0.336,1,5048.17
"none-decompose",0.052,-0.262,0.355,1,4600.02
"none-stl",-0.021,-0.33,0.292,1,5131.11
"linear-average",0.006,-0.3,0.323,1,5248.49
"loess-average",0.037,-0.28,0.352,1,5081.21
"gaussian-average",0.023,-0.293,0.341,1,5033.33
"linear-decompose",0.036,-0.284,0.352,1,5097.07
"loess-decompose",0.011,-0.294,0.33,1,4660.88
"gaussian-decompose",0.005,-0.298,0.33,1,5274.77
"linear-stl",0.079,-0.23,0.402,1,4755.66
"loess-stl",0.018,-0.283,0.336,1,4600.65
"gaussian-stl",0.034,-0.276,0.345,1,4712.69
