"","Parameter","Median","CI_low","CI_high","Rhat","ESS"
"1","linear-none",0.116,-0.422,0.664,1,5306.62
"2","loess-none",0.161,-0.376,0.706,1,5736.47
"3","gaussian-none",0.208,-0.347,0.756,1,5833.45
"4","none-average",-0.39,-0.947,0.154,1,5367.25
"5","none-decompose",-0.299,-0.848,0.247,1,5748.78
"6","none-stl",-0.201,-0.744,0.341,1,5425.41
"7","linear-average",-0.206,-0.743,0.336,1,5552.16
"8","loess-average",-0.069,-0.606,0.466,1,5366.18
"9","gaussian-average",-0.071,-0.595,0.481,1,5498.8
"10","linear-decompose",-0.067,-0.612,0.465,1,5651.47
"11","loess-decompose",-0.067,-0.619,0.458,1,5725.4
"12","gaussian-decompose",0.162,-0.376,0.7,1,5243.71
"13","linear-stl",-0.022,-0.564,0.513,1,5567.68
"14","loess-stl",0.07,-0.473,0.599,1,5771.72
"15","gaussian-stl",-0.023,-0.572,0.528,1,5713.59
