"Parameter","Median","CI_low","CI_high","Rhat","ESS"
"linear-none",-0.056,-0.587,0.449,1,5655.71
"loess-none",-0.014,-0.529,0.504,1,4873.96
"gaussian-none",0.114,-0.412,0.647,1,4887.66
"none-average",-0.101,-0.633,0.422,1,5474.2
"none-decompose",0.114,-0.4,0.63,1,5160.85
"none-stl",-0.101,-0.62,0.431,1,4805.72
"linear-average",-0.102,-0.627,0.413,1,4637.09
"loess-average",-0.106,-0.632,0.415,1,5453.8
"gaussian-average",0.203,-0.309,0.736,1,5393.85
"linear-decompose",-0.27,-0.784,0.256,1,4786.78
"loess-decompose",-0.407,-0.928,0.117,1,4535.2
"gaussian-decompose",0.026,-0.492,0.544,1,5009.93
"linear-stl",-0.06,-0.592,0.442,1,5226.99
"loess-stl",-0.226,-0.748,0.294,1,5430.75
"gaussian-stl",0.119,-0.402,0.649,1,4725.75
